Entry number,Time,Ch 1,Ch 2,Ch 3,Ch 4,Ch 5
0.00125,4:25:47 PM,2,4,1,0,0
0.0025,4:25:47 PM,4,12,0,0,0
0.00375,4:25:47 PM,7,17,1,0,0
0.005,4:25:47 PM,4,10,1,0,0
0.00625,4:25:47 PM,5,12,1,0,0
0.0075,4:25:47 PM,5,12,1,0,0
0.00875,4:25:47 PM,9,9,0,0,0
0.01,4:25:47 PM,5,8,1,0,0
0.01125,4:25:47 PM,3,6,1,0,0
0.0125,4:25:47 PM,7,10,0,0,0
0.01375,4:25:47 PM,6,8,1,0,0
0.015,4:25:47 PM,2,8,2,0,0
0.01625,4:25:47 PM,11,10,3,0,0
0.0175,4:25:47 PM,4,3,1,0,0
0.01875,4:25:47 PM,6,10,1,0,0
0.02,4:25:47 PM,4,12,3,0,0
0.02125,4:25:47 PM,4,12,0,0,0
0.0225,4:25:47 PM,5,11,4,0,0
0.02375,4:25:47 PM,3,17,2,0,0
0.025,4:25:47 PM,3,15,3,0,0
0.02625,4:25:47 PM,3,8,1,0,0
0.0275,4:25:47 PM,8,9,3,0,0
0.02875,4:25:47 PM,4,7,0,0,0
0.03,4:25:47 PM,4,14,0,0,0
0.03125,4:25:47 PM,2,11,2,0,0
0.0325,4:25:47 PM,7,11,1,0,0
0.03375,4:25:47 PM,4,9,2,0,0
0.035,4:25:47 PM,9,9,0,0,0
0.03625,4:25:47 PM,10,10,0,0,0
0.0375,4:25:47 PM,9,5,1,0,0
0.03875,4:25:47 PM,7,9,2,0,0
0.04,4:25:47 PM,13,9,0,0,0
0.04125,4:25:47 PM,13,8,0,0,0
0.0425,4:25:47 PM,6,7,2,0,0
0.043750000000000004,4:25:47 PM,8,5,4,0,0
0.045,4:25:47 PM,3,14,0,0,0
0.04625,4:25:47 PM,2,12,1,0,0
0.0475,4:25:47 PM,4,9,0,0,0
0.04875,4:25:47 PM,4,12,1,0,0
0.05,4:25:47 PM,3,12,3,0,0
0.051250000000000004,4:25:47 PM,7,6,0,0,0
0.0525,4:25:47 PM,7,9,0,0,0
0.05375,4:25:47 PM,2,11,0,0,0
0.055,4:25:47 PM,9,6,2,0,0
0.05625,4:25:47 PM,5,13,1,0,0
0.0575,4:25:47 PM,8,8,1,0,0
0.058750000000000004,4:25:47 PM,5,3,1,0,0
0.06,4:25:47 PM,4,10,2,0,0
0.06125,4:25:47 PM,7,7,0,0,0
0.0625,4:25:47 PM,5,8,3,0,0
0.06375,4:25:47 PM,5,4,1,0,0
0.065,4:25:47 PM,1,7,4,0,0
0.06625,4:25:47 PM,5,10,0,0,0
0.0675,4:25:47 PM,5,10,0,0,0
0.06875,4:25:47 PM,6,10,1,0,0
0.07,4:25:47 PM,7,10,2,0,0
0.07125000000000001,4:25:47 PM,5,7,4,0,0
0.0725,4:25:47 PM,4,8,0,0,0
0.07375,4:25:47 PM,5,8,2,0,0
0.075,4:25:47 PM,4,10,3,0,0
0.07625,4:25:47 PM,8,10,0,0,0
0.0775,4:25:47 PM,6,10,2,0,0
0.07875,4:25:47 PM,0,8,2,0,0
0.08,4:25:47 PM,6,16,2,0,0
0.08125,4:25:47 PM,4,11,1,0,0
0.0825,4:25:47 PM,5,5,0,0,0
0.08375,4:25:47 PM,6,12,1,0,0
0.085,4:25:47 PM,5,14,1,0,0
0.08625000000000001,4:25:47 PM,2,11,1,0,0
0.08750000000000001,4:25:47 PM,3,10,1,0,0
0.08875,4:25:47 PM,6,15,0,0,0
0.09,4:25:47 PM,6,14,1,0,0
0.09125,4:25:47 PM,5,10,4,0,0
0.0925,4:25:47 PM,4,8,0,0,0
0.09375,4:25:47 PM,8,13,1,0,0
0.095,4:25:47 PM,9,11,1,0,0
0.09625,4:25:47 PM,5,7,1,0,0
0.0975,4:25:47 PM,4,8,1,0,0
0.09875,4:25:47 PM,5,6,3,0,0
0.1,4:25:47 PM,7,8,2,0,0
0.10125,4:25:47 PM,4,11,2,0,0
0.10250000000000001,4:25:47 PM,3,11,0,0,0
0.10375000000000001,4:25:47 PM,0,10,1,0,0
0.105,4:25:47 PM,5,6,1,0,0
0.10625,4:25:47 PM,4,5,0,0,0
0.1075,4:25:47 PM,4,8,3,0,0
0.10875,4:25:47 PM,7,11,2,0,0
0.11,4:25:47 PM,5,5,0,0,0
0.11125,4:25:47 PM,9,6,0,0,0
0.1125,4:25:47 PM,6,11,1,0,0
0.11375,4:25:47 PM,2,3,4,0,0
0.115,4:25:47 PM,5,9,0,0,0
0.11625,4:25:47 PM,8,14,0,0,0
0.11750000000000001,4:25:47 PM,5,5,1,0,0
0.11875000000000001,4:25:47 PM,3,4,3,0,0
0.12,4:25:47 PM,4,16,1,0,0
0.12125,4:25:47 PM,5,15,0,0,0
0.1225,4:25:47 PM,3,9,2,0,0
0.12375,4:25:47 PM,5,9,1,0,0
0.125,4:25:47 PM,1,7,3,0,0
0.12625,4:25:47 PM,5,6,1,0,0
0.1275,4:25:47 PM,7,11,4,0,0
0.12875,4:25:47 PM,4,5,2,0,0
0.13,4:25:47 PM,5,9,2,0,0
0.13125,4:25:47 PM,3,11,0,0,0
0.1325,4:25:47 PM,1,8,1,0,0
0.13375,4:25:47 PM,1,12,2,0,0
0.135,4:25:47 PM,6,7,0,0,0
0.13625,4:25:47 PM,4,7,1,0,0
0.1375,4:25:47 PM,7,10,2,0,0
0.13875,4:25:47 PM,7,10,2,0,0
0.14,4:25:47 PM,2,14,0,0,0
0.14125000000000001,4:25:47 PM,11,14,1,0,0
0.14250000000000002,4:25:47 PM,6,4,1,0,0
0.14375000000000002,4:25:47 PM,5,12,1,0,0
0.145,4:25:47 PM,0,8,2,0,0
0.14625,4:25:47 PM,7,7,0,0,0
0.1475,4:25:47 PM,5,9,2,0,0
0.14875,4:25:47 PM,7,12,2,0,0
0.15,4:25:47 PM,10,11,2,0,0
0.15125,4:25:47 PM,4,9,3,0,0
0.1525,4:25:47 PM,5,11,1,0,0
0.15375,4:25:47 PM,8,12,0,0,0
0.155,4:25:47 PM,2,10,3,0,0
0.15625,4:25:47 PM,4,7,3,0,0
0.1575,4:25:47 PM,4,12,1,0,0
0.15875,4:25:47 PM,4,9,2,0,0
0.16,4:25:47 PM,3,12,1,0,0
0.16125,4:25:47 PM,4,9,1,0,0
0.1625,4:25:47 PM,6,10,1,0,0
0.16375,4:25:47 PM,8,7,2,0,0
