Entry number,Time,Ch 1,Ch 2,Ch 3,Ch 4,Ch 5
0.00125,10:39:54 AM,5,8,55,0,0
0.0025,10:39:54 AM,1,9,48,0,0
0.00375,10:39:54 AM,3,8,38,0,0
0.005,10:39:54 AM,6,6,45,0,0
0.00625,10:39:54 AM,4,11,59,0,0
0.0075,10:39:54 AM,5,7,52,0,0
0.00875,10:39:54 AM,0,10,50,0,0
0.01,10:39:54 AM,1,6,53,0,0
0.01125,10:39:54 AM,1,14,56,0,0
0.0125,10:39:54 AM,3,5,45,0,0
0.01375,10:39:54 AM,1,10,47,0,0
0.015,10:39:54 AM,3,11,51,0,0
0.01625,10:39:54 AM,3,9,50,0,0
0.0175,10:39:54 AM,3,9,52,0,0
0.01875,10:39:54 AM,2,10,49,0,0
0.02,10:39:54 AM,1,2,54,0,0
0.02125,10:39:54 AM,3,11,50,0,0
0.0225,10:39:54 AM,4,9,45,0,0
0.02375,10:39:54 AM,3,8,53,0,0
0.025,10:39:54 AM,4,10,43,0,0
0.02625,10:39:54 AM,2,10,44,0,0
0.0275,10:39:54 AM,3,15,47,0,0
0.02875,10:39:54 AM,2,10,36,0,0
0.03,10:39:54 AM,1,5,37,0,0
0.03125,10:39:54 AM,2,3,60,0,0
0.0325,10:39:54 AM,1,7,43,0,0
0.03375,10:39:54 AM,2,9,51,0,0
0.035,10:39:54 AM,2,8,47,0,0
0.03625,10:39:54 AM,1,5,43,0,0
0.0375,10:39:54 AM,3,6,41,0,0
0.03875,10:39:54 AM,2,7,50,0,0
0.04,10:39:54 AM,2,6,37,0,0
0.04125,10:39:54 AM,3,9,62,0,0
0.0425,10:39:54 AM,3,4,65,0,0
0.043750000000000004,10:39:54 AM,3,2,51,0,0
0.045,10:39:54 AM,2,9,39,0,0
0.04625,10:39:54 AM,5,10,44,0,0
0.0475,10:39:54 AM,4,5,41,0,0
0.04875,10:39:54 AM,2,5,39,0,0
0.05,10:39:54 AM,3,8,34,0,0
0.051250000000000004,10:39:54 AM,2,10,40,0,0
0.0525,10:39:54 AM,7,9,61,0,0
0.05375,10:39:54 AM,1,10,49,0,0
0.055,10:39:54 AM,4,9,56,0,0
0.05625,10:39:54 AM,3,8,49,0,0
0.0575,10:39:54 AM,5,9,39,0,0
0.058750000000000004,10:39:54 AM,4,3,49,0,0
0.06,10:39:54 AM,4,3,58,0,0
0.06125,10:39:54 AM,5,12,45,0,0
0.0625,10:39:54 AM,6,6,39,0,0
0.06375,10:39:54 AM,1,6,50,0,0
0.065,10:39:54 AM,4,9,47,0,0
0.06625,10:39:54 AM,1,11,47,0,0
0.0675,10:39:54 AM,3,13,44,0,0
0.06875,10:39:54 AM,2,4,46,0,0
0.07,10:39:54 AM,7,10,62,0,0
0.07125000000000001,10:39:54 AM,6,11,40,0,0
0.0725,10:39:54 AM,3,11,40,0,0
0.07375,10:39:54 AM,6,5,48,0,0
0.075,10:39:54 AM,2,5,58,0,0
0.07625,10:39:54 AM,1,4,51,0,0
0.0775,10:39:54 AM,2,3,45,0,0
0.07875,10:39:54 AM,1,3,41,0,0
0.08,10:39:54 AM,4,4,36,0,0
0.08125,10:39:54 AM,3,6,34,0,0
0.0825,10:39:54 AM,3,6,57,0,0
0.08375,10:39:54 AM,3,15,46,0,0
0.085,10:39:54 AM,2,6,52,0,0
0.08625000000000001,10:39:54 AM,4,8,50,0,0
0.08750000000000001,10:39:54 AM,7,6,47,0,0
0.08875,10:39:54 AM,3,6,49,0,0
0.09,10:39:54 AM,2,11,54,0,0
0.09125,10:39:54 AM,3,7,50,0,0
0.0925,10:39:54 AM,4,9,42,0,0
0.09375,10:39:54 AM,3,8,44,0,0
0.095,10:39:54 AM,5,11,46,0,0
0.09625,10:39:54 AM,2,7,50,0,0
0.0975,10:39:54 AM,5,1,52,0,0
0.09875,10:39:54 AM,1,5,41,0,0
0.1,10:39:54 AM,2,10,46,0,0
0.10125,10:39:54 AM,3,9,49,0,0
0.10250000000000001,10:39:54 AM,5,10,55,0,0
0.10375000000000001,10:39:54 AM,2,5,50,0,0
0.105,10:39:54 AM,2,12,49,0,0
0.10625,10:39:54 AM,2,10,39,0,0
0.1075,10:39:54 AM,4,10,63,0,0
0.10875,10:39:54 AM,1,7,44,0,0
0.11,10:39:54 AM,0,10,45,0,0
0.11125,10:39:54 AM,1,12,50,0,0
0.1125,10:39:54 AM,1,6,55,0,0
0.11375,10:39:54 AM,3,9,45,0,0
0.115,10:39:54 AM,3,10,42,0,0
0.11625,10:39:54 AM,2,1,48,0,0
0.11750000000000001,10:39:54 AM,4,8,52,0,0
0.11875000000000001,10:39:54 AM,1,4,42,0,0
0.12,10:39:54 AM,2,8,52,0,0
0.12125,10:39:54 AM,1,11,51,0,0
0.1225,10:39:54 AM,4,12,61,0,0
0.12375,10:39:54 AM,2,5,54,0,0
0.125,10:39:54 AM,0,16,52,0,0
0.12625,10:39:54 AM,1,12,55,0,0
0.1275,10:39:54 AM,2,8,48,0,0
0.12875,10:39:54 AM,3,6,57,0,0
0.13,10:39:54 AM,3,7,57,0,0
0.13125,10:39:54 AM,3,8,49,0,0
0.1325,10:39:54 AM,1,11,67,0,0
0.13375,10:39:54 AM,4,9,51,0,0
0.135,10:39:54 AM,1,5,51,0,0
0.13625,10:39:54 AM,3,4,34,0,0
0.1375,10:39:54 AM,3,5,71,0,0
0.13875,10:39:54 AM,0,7,47,0,0
0.14,10:39:54 AM,8,6,41,0,0
0.14125000000000001,10:39:54 AM,1,10,40,0,0
0.14250000000000002,10:39:54 AM,0,6,47,0,0
0.14375000000000002,10:39:54 AM,7,7,33,0,0
0.145,10:39:54 AM,5,7,58,0,0
0.14625,10:39:54 AM,5,10,52,0,0
0.1475,10:39:54 AM,2,7,60,0,0
0.14875,10:39:54 AM,2,6,57,0,0
0.15,10:39:54 AM,4,12,41,0,0
0.15125,10:39:54 AM,5,5,52,0,0
0.1525,10:39:54 AM,2,9,52,0,0
0.15375,10:39:54 AM,2,7,52,0,0
0.155,10:39:54 AM,0,12,57,0,0
0.15625,10:39:54 AM,4,9,44,0,0
0.1575,10:39:54 AM,3,7,49,0,0
0.15875,10:39:54 AM,1,5,52,0,0
0.16,10:39:54 AM,3,2,52,0,0
0.16125,10:39:54 AM,5,5,45,0,0
0.1625,10:39:54 AM,1,14,48,0,0
0.16375,10:39:54 AM,3,5,50,0,0
0.165,10:39:54 AM,3,5,57,0,0
0.16625,10:39:54 AM,6,8,44,0,0
0.1675,10:39:54 AM,0,2,48,0,0
0.16875,10:39:54 AM,2,6,35,0,0
0.17,10:39:54 AM,4,9,62,0,0
0.17125,10:39:54 AM,5,8,57,0,0
0.17250000000000001,10:39:54 AM,3,4,49,0,0
0.17375000000000002,10:39:54 AM,4,6,44,0,0
0.17500000000000002,10:39:54 AM,7,3,53,0,0
0.17625,10:39:54 AM,2,5,47,0,0
0.1775,10:39:54 AM,3,5,56,0,0
0.17875,10:39:54 AM,3,6,54,0,0
0.18,10:39:54 AM,2,4,40,0,0
0.18125,10:39:54 AM,1,7,36,0,0
0.1825,10:39:54 AM,4,9,44,0,0
0.18375,10:39:54 AM,4,10,37,0,0
0.185,10:39:54 AM,1,8,37,0,0
0.18625,10:39:54 AM,2,6,43,0,0
0.1875,10:39:54 AM,0,9,32,0,0
0.18875,10:39:54 AM,9,2,60,0,0
0.19,10:39:54 AM,3,7,32,0,0
0.19125,10:39:54 AM,4,7,58,0,0
0.1925,10:39:54 AM,1,16,56,0,0
0.19375,10:39:54 AM,0,6,68,0,0
0.195,10:39:54 AM,4,9,46,0,0
0.19625,10:39:54 AM,7,9,42,0,0
0.1975,10:39:54 AM,4,13,43,0,0
0.19875,10:39:54 AM,3,6,43,0,0
0.2,10:39:54 AM,1,9,41,0,0
0.20125,10:39:54 AM,3,12,35,0,0
0.2025,10:39:54 AM,2,6,43,0,0
0.20375000000000001,10:39:54 AM,2,3,49,0,0
0.20500000000000002,10:39:54 AM,2,7,54,0,0
0.20625000000000002,10:39:54 AM,3,10,40,0,0
0.20750000000000002,10:39:54 AM,3,10,60,0,0
0.20875,10:39:54 AM,3,4,64,0,0
0.21,10:39:54 AM,2,4,69,0,0
0.21125,10:39:54 AM,4,7,40,0,0
0.2125,10:39:54 AM,6,10,45,0,0
0.21375,10:39:54 AM,3,4,49,0,0
0.215,10:39:54 AM,4,5,59,0,0
0.21625,10:39:54 AM,1,9,44,0,0
0.2175,10:39:54 AM,3,7,53,0,0
0.21875,10:39:54 AM,2,12,50,0,0
0.22,10:39:54 AM,2,4,48,0,0
0.22125,10:39:54 AM,2,11,54,0,0
0.2225,10:39:54 AM,1,5,36,0,0
0.22375,10:39:54 AM,5,8,45,0,0
0.225,10:39:54 AM,1,14,56,0,0
0.22625,10:39:54 AM,2,5,57,0,0
0.2275,10:39:54 AM,3,10,43,0,0
0.22875,10:39:54 AM,1,10,32,0,0
0.23,10:39:54 AM,2,12,35,0,0
0.23125,10:39:54 AM,4,10,60,0,0
0.2325,10:39:54 AM,0,9,57,0,0
0.23375,10:39:54 AM,2,8,38,0,0
0.23500000000000001,10:39:54 AM,2,4,48,0,0
0.23625000000000002,10:39:54 AM,5,7,49,0,0
0.23750000000000002,10:39:54 AM,0,8,50,0,0
0.23875000000000002,10:39:54 AM,3,4,57,0,0
0.24,10:39:54 AM,0,16,46,0,0
0.24125,10:39:54 AM,1,5,46,0,0
0.2425,10:39:54 AM,2,7,46,0,0
0.24375,10:39:54 AM,4,7,45,0,0
0.245,10:39:54 AM,4,9,42,0,0
0.24625,10:39:54 AM,0,10,48,0,0
0.2475,10:39:54 AM,5,8,56,0,0
0.24875,10:39:54 AM,1,5,52,0,0
0.25,10:39:54 AM,4,9,59,0,0
0.25125000000000003,10:39:54 AM,5,5,51,0,0
0.2525,10:39:54 AM,7,6,49,0,0
0.25375000000000003,10:39:54 AM,4,6,48,0,0
0.255,10:39:54 AM,2,2,50,0,0
0.25625,10:39:54 AM,1,11,41,0,0
0.2575,10:39:54 AM,3,4,44,0,0
0.25875,10:39:54 AM,4,7,53,0,0
0.26,10:39:54 AM,3,6,45,0,0
0.26125,10:39:54 AM,4,3,45,0,0
0.2625,10:39:54 AM,3,9,57,0,0
0.26375,10:39:54 AM,1,10,47,0,0
0.265,10:39:54 AM,2,11,53,0,0
0.26625,10:39:54 AM,3,6,49,0,0
0.2675,10:39:54 AM,10,6,46,0,0
0.26875,10:39:54 AM,5,5,38,0,0
0.27,10:39:54 AM,2,4,41,0,0
0.27125,10:39:54 AM,2,12,42,0,0
0.2725,10:39:54 AM,2,12,41,0,0
0.27375,10:39:54 AM,2,15,48,0,0
0.275,10:39:54 AM,0,8,51,0,0
0.27625,10:39:54 AM,2,10,47,0,0
0.2775,10:39:54 AM,1,13,54,0,0
0.27875,10:39:54 AM,4,5,50,0,0
0.28,10:39:54 AM,1,8,35,0,0
0.28125,10:39:54 AM,3,14,53,0,0
0.28250000000000003,10:39:54 AM,5,8,47,0,0
0.28375,10:39:54 AM,0,9,49,0,0
0.28500000000000003,10:39:54 AM,3,8,36,0,0
0.28625,10:39:54 AM,3,5,47,0,0
0.28750000000000003,10:39:54 AM,3,7,57,0,0
0.28875,10:39:54 AM,2,11,36,0,0
0.29,10:39:54 AM,4,5,48,0,0
0.29125,10:39:54 AM,4,9,48,0,0
0.2925,10:39:54 AM,5,9,42,0,0
0.29375,10:39:54 AM,3,7,56,0,0
0.295,10:39:54 AM,1,13,50,0,0
0.29625,10:39:54 AM,1,4,35,0,0
0.2975,10:39:54 AM,6,5,41,0,0
0.29875,10:39:54 AM,3,4,43,0,0
0.3,10:39:54 AM,1,8,62,0,0
0.30125,10:39:54 AM,2,15,53,0,0
0.3025,10:39:54 AM,3,9,53,0,0
0.30375,10:39:54 AM,1,8,39,0,0
0.305,10:39:54 AM,3,9,43,0,0
0.30625,10:39:54 AM,4,9,58,0,0
0.3075,10:39:54 AM,1,6,46,0,0
0.30875,10:39:54 AM,2,12,49,0,0
0.31,10:39:54 AM,2,5,30,0,0
0.31125,10:39:54 AM,6,8,31,0,0
0.3125,10:39:54 AM,2,4,46,0,0
0.31375000000000003,10:39:54 AM,1,9,40,0,0
0.315,10:39:54 AM,2,7,44,0,0
0.31625000000000003,10:39:54 AM,3,8,56,0,0
0.3175,10:39:54 AM,2,7,46,0,0
0.31875000000000003,10:39:54 AM,2,12,56,0,0
0.32,10:39:54 AM,2,11,67,0,0
0.32125,10:39:54 AM,2,10,53,0,0
0.3225,10:39:54 AM,4,3,43,0,0
0.32375,10:39:54 AM,3,9,44,0,0
0.325,10:39:54 AM,2,6,60,0,0
0.32625,10:39:54 AM,2,13,46,0,0
0.3275,10:39:54 AM,3,7,64,0,0
0.32875,10:39:54 AM,6,7,36,0,0
0.33,10:39:54 AM,4,8,49,0,0
0.33125,10:39:54 AM,8,5,63,0,0
0.3325,10:39:54 AM,4,10,66,0,0
0.33375,10:39:54 AM,3,4,56,0,0
0.335,10:39:54 AM,1,3,56,0,0
0.33625,10:39:54 AM,3,6,37,0,0
0.3375,10:39:54 AM,3,7,40,0,0
0.33875,10:39:54 AM,1,7,52,0,0
0.34,10:39:54 AM,4,7,40,0,0
0.34125,10:39:54 AM,3,5,59,0,0
0.3425,10:39:54 AM,1,11,50,0,0
0.34375,10:39:54 AM,4,7,40,0,0
0.34500000000000003,10:39:54 AM,4,12,61,0,0
0.34625,10:39:54 AM,5,2,47,0,0
0.34750000000000003,10:39:54 AM,8,6,48,0,0
