,Time,Ch 1,Ch 2,Ch 3
0,3:19:45 PM,0,1,2
1,3:19:45 PM,1,0,0
2,3:19:45 PM,0,0,0
3,3:19:45 PM,1,1,1
4,3:19:45 PM,1,1,1
5,3:19:45 PM,1,0,0
6,3:19:45 PM,0,3,0
7,3:19:45 PM,1,0,0
8,3:19:45 PM,1,1,0
9,3:19:45 PM,0,0,0
10,3:19:45 PM,0,0,0
11,3:19:45 PM,0,0,0
12,3:19:45 PM,0,0,2
13,3:19:45 PM,0,1,1
14,3:19:45 PM,0,0,0
15,3:19:45 PM,0,0,0
16,3:19:45 PM,0,0,1
17,3:19:45 PM,1,1,0
18,3:19:45 PM,0,0,1
19,3:19:45 PM,0,0,0
20,3:19:45 PM,0,2,0
21,3:19:45 PM,0,2,1
22,3:19:45 PM,1,1,0
23,3:19:45 PM,0,1,0
24,3:19:45 PM,1,0,1
25,3:19:45 PM,1,1,1
26,3:19:45 PM,0,0,1
27,3:19:45 PM,0,2,1
28,3:19:45 PM,0,0,1
29,3:19:45 PM,0,0,0
30,3:19:45 PM,1,1,1
31,3:19:45 PM,0,0,1
32,3:19:45 PM,0,0,0
33,3:19:45 PM,0,0,0
34,3:19:45 PM,0,1,1
35,3:19:45 PM,0,1,0
36,3:19:45 PM,0,1,1
37,3:19:45 PM,2,1,0
38,3:19:45 PM,1,3,1
39,3:19:45 PM,0,0,0
40,3:19:45 PM,0,1,0
41,3:19:45 PM,1,1,0
42,3:19:45 PM,2,0,0
43,3:19:45 PM,1,0,0
44,3:19:45 PM,0,0,1
45,3:19:45 PM,0,0,1
46,3:19:45 PM,1,1,0
47,3:19:45 PM,0,0,1
48,3:19:45 PM,0,1,0
49,3:19:45 PM,2,1,2
50,3:19:45 PM,0,0,1
51,3:19:45 PM,0,2,2
52,3:19:45 PM,0,1,1
53,3:19:45 PM,0,1,1
54,3:19:45 PM,0,0,0
55,3:19:45 PM,0,0,1
56,3:19:45 PM,0,0,3
57,3:19:45 PM,0,0,2
58,3:19:45 PM,1,0,0
59,3:19:45 PM,0,0,0
60,3:19:45 PM,1,1,0
61,3:19:45 PM,0,1,0
62,3:19:45 PM,1,2,0
63,3:19:45 PM,1,0,1
64,3:19:45 PM,0,0,1
65,3:19:45 PM,0,0,1
66,3:19:45 PM,0,0,1
67,3:19:45 PM,0,2,0
68,3:19:45 PM,0,0,0
69,3:19:45 PM,2,0,1
70,3:19:45 PM,1,1,1
71,3:19:45 PM,1,0,2
72,3:19:45 PM,0,2,0
73,3:19:45 PM,1,2,1
74,3:19:45 PM,0,1,1
75,3:19:45 PM,0,0,1
76,3:19:45 PM,0,1,0
77,3:19:45 PM,0,0,2
78,3:19:45 PM,1,1,1
79,3:19:45 PM,1,1,0
80,3:19:45 PM,1,0,2
81,3:19:45 PM,0,0,1
82,3:19:45 PM,0,1,1
83,3:19:45 PM,0,1,0
84,3:19:45 PM,0,1,1
85,3:19:45 PM,1,1,2
86,3:19:45 PM,1,0,0
87,3:19:45 PM,0,0,1
88,3:19:45 PM,0,1,0
89,3:19:45 PM,0,1,0
90,3:19:45 PM,0,1,0
91,3:19:45 PM,0,2,1
92,3:19:45 PM,0,1,0
93,3:19:45 PM,0,1,1
94,3:19:45 PM,0,1,1
95,3:19:45 PM,0,0,0
96,3:19:45 PM,1,0,0
97,3:19:45 PM,1,2,1
98,3:19:45 PM,0,0,2
99,3:19:45 PM,0,0,1
100,3:19:45 PM,0,0,0
101,3:19:45 PM,1,1,0
102,3:19:45 PM,1,0,0
103,3:19:45 PM,1,0,0
104,3:19:45 PM,0,1,0
105,3:19:45 PM,1,0,1
106,3:19:45 PM,2,0,0
107,3:19:45 PM,0,2,1
108,3:19:45 PM,2,0,3
109,3:19:45 PM,1,2,2
110,3:19:45 PM,0,0,1
111,3:19:45 PM,0,0,2
112,3:19:45 PM,0,0,1
113,3:19:45 PM,1,1,0
114,3:19:45 PM,0,0,1
115,3:19:45 PM,2,1,1
116,3:19:45 PM,2,0,1
117,3:19:45 PM,0,1,2
118,3:19:45 PM,1,0,1
119,3:19:45 PM,1,1,1
120,3:19:45 PM,0,1,1
121,3:19:45 PM,2,0,0
122,3:19:45 PM,0,1,2
123,3:19:45 PM,1,1,0
124,3:19:45 PM,3,0,0
125,3:19:45 PM,1,0,1
126,3:19:45 PM,0,1,0
127,3:19:45 PM,1,0,0
128,3:19:45 PM,0,3,0
129,3:19:45 PM,3,3,0
130,3:19:45 PM,1,1,1
131,3:19:45 PM,1,1,0
132,3:19:45 PM,2,0,2
133,3:19:45 PM,0,0,0
134,3:19:45 PM,0,0,0
135,3:19:45 PM,0,0,4
136,3:19:45 PM,1,0,0
137,3:19:45 PM,1,1,0
138,3:19:45 PM,0,1,2
139,3:19:45 PM,0,0,1
140,3:19:45 PM,1,1,0
141,3:19:45 PM,0,1,0
142,3:19:45 PM,1,0,2
143,3:19:45 PM,1,2,0
144,3:19:45 PM,0,0,0
145,3:19:45 PM,0,0,0
146,3:19:45 PM,1,1,1
147,3:19:45 PM,2,1,0
