Clock rate (Hz): 800
Sample integration time (s): 0.001250
initialize test of module
Entry number,Time,Ch 1,Ch 2,Ch 3,Ch 4,Ch 5,Ch 6,Ch 7,Ch 8
1,3:21:24 PM,0,2,0,0,0,0,0,0
2,3:21:24 PM,0,0,1,0,0,0,0,0
3,3:21:24 PM,0,2,0,0,0,0,0,0
4,3:21:24 PM,3,0,2,0,0,0,0,0
5,3:21:24 PM,0,3,0,0,0,0,0,0
6,3:21:24 PM,1,1,0,0,0,0,0,0
7,3:21:24 PM,2,1,0,0,0,0,0,0
8,3:21:24 PM,0,0,1,0,0,0,0,0
9,3:21:24 PM,1,0,0,0,0,0,0,0
10,3:21:24 PM,0,3,1,0,0,0,0,0
11,3:21:24 PM,0,3,1,0,0,0,0,0
12,3:21:24 PM,0,0,0,0,0,0,0,0
13,3:21:24 PM,0,1,2,0,0,0,0,0
14,3:21:24 PM,0,2,0,0,0,0,0,0
15,3:21:24 PM,0,1,0,0,0,0,0,0
16,3:21:24 PM,0,0,1,0,0,0,0,0
17,3:21:24 PM,0,2,2,0,0,0,0,0
18,3:21:24 PM,0,2,0,0,0,0,0,0
19,3:21:24 PM,0,0,1,0,0,0,0,0
20,3:21:24 PM,0,2,1,0,0,0,0,0
21,3:21:24 PM,1,0,0,0,0,0,0,0
22,3:21:24 PM,1,0,0,0,0,0,0,0
23,3:21:24 PM,0,1,0,0,0,0,0,0
24,3:21:24 PM,0,0,0,0,0,0,0,0
25,3:21:24 PM,0,1,0,0,0,0,0,0
26,3:21:24 PM,0,0,2,0,0,0,0,0
27,3:21:24 PM,0,1,0,0,0,0,0,0
28,3:21:24 PM,0,3,0,0,0,0,0,0
29,3:21:24 PM,1,1,1,0,0,0,0,0
30,3:21:24 PM,1,0,0,0,0,0,0,0
31,3:21:24 PM,2,0,1,0,0,0,0,0
32,3:21:24 PM,0,0,0,0,0,0,0,0
33,3:21:24 PM,0,0,1,0,0,0,0,0
34,3:21:24 PM,0,0,1,0,0,0,0,0
35,3:21:24 PM,0,0,0,0,0,0,0,0
36,3:21:24 PM,2,0,0,0,0,0,0,0
37,3:21:24 PM,0,0,0,0,0,0,0,0
38,3:21:24 PM,2,0,1,0,0,0,0,0
39,3:21:24 PM,0,0,0,0,0,0,0,0
40,3:21:24 PM,0,1,3,0,0,0,0,0
41,3:21:24 PM,1,0,0,0,0,0,0,0
42,3:21:24 PM,1,2,1,0,0,0,0,0
43,3:21:24 PM,0,1,0,0,0,0,0,0
44,3:21:24 PM,0,0,1,0,0,0,0,0
45,3:21:24 PM,0,1,0,0,0,0,0,0
46,3:21:24 PM,0,2,0,0,0,0,0,0
